id_fuente,id_tipo_evento,fecha_hora,usuario_origen,direccion_ip,severidad,resultado,descripcion
1,2,2026-09-02 13:27:40,usuario02,192.168.131.125,BAJA,EXITOSO,Actividad de red registrada para análisis. Registro masivo VIGIA #1.
1,2,2026-08-14 04:49:39,usuario03,192.168.47.233,MEDIA,EXITOSO,Tráfico de red detectado desde un origen interno. Registro masivo VIGIA #2.
1,1,2026-09-05 17:22:15,desconocido,172.16.38.125,MEDIA,EXITOSO,Inicio de sesión exitoso. Registro masivo VIGIA #3.
1,2,2026-08-25 12:04:38,analista01,10.0.142.49,BAJA,EXITOSO,Actividad inusual registrada desde una dirección IP. Registro masivo VIGIA #4.
1,4,2026-09-08 14:03:17,analista01,10.0.117.100,ALTA,BLOQUEADO,Evento de seguridad que requiere atención prioritaria. Registro masivo VIGIA #5.
1,3,2026-08-20 03:01:55,sistema,192.168.58.199,BAJA,BLOQUEADO,Usuario accede a recurso protegido. Registro masivo VIGIA #6.
1,2,2026-08-20 15:18:06,usuario03,172.16.112.144,CRITICA,BLOQUEADO,Actividad de red registrada para análisis. Registro masivo VIGIA #7.
1,1,2026-08-19 18:07:37,usuario03,192.168.73.238,MEDIA,BLOQUEADO,Intento de acceso con credenciales incorrectas. Registro masivo VIGIA #8.
1,4,2026-08-15 20:36:29,usuario02,10.0.99.58,CRITICA,FALLIDO,Amenaza crítica detectada por el sistema. Registro masivo VIGIA #9.
1,4,2026-08-22 10:39:30,usuario02,172.16.153.178,ALTA,FALLIDO,Intento de acceso no autorizado detectado. Registro masivo VIGIA #10.
1,2,2026-09-09 15:00:28,usuario03,172.16.49.144,MEDIA,EXITOSO,Tráfico de red detectado desde un origen interno. Registro masivo VIGIA #11.
1,4,2026-09-07 07:48:42,sistema,192.168.149.31,CRITICA,FALLIDO,Actividad de alta gravedad registrada. Registro masivo VIGIA #12.
1,2,2026-09-07 19:18:45,desconocido,10.0.220.148,BAJA,FALLIDO,Comunicación detectada entre dispositivos monitoreados. Registro masivo VIGIA #13.
1,4,2026-08-26 13:53:58,usuario03,172.16.169.51,CRITICA,BLOQUEADO,Evento crítico detectado en sistema monitoreado. Registro masivo VIGIA #14.
1,3,2026-08-25 06:40:52,usuario03,172.16.245.96,MEDIA,FALLIDO,Acceso bloqueado por política de seguridad. Registro masivo VIGIA #15.
1,4,2026-09-11 12:17:09,usuario01,172.16.192.119,CRITICA,FALLIDO,Intento de acceso no autorizado detectado. Registro masivo VIGIA #16.
1,2,2026-08-23 06:06:46,desconocido,172.16.29.139,MEDIA,EXITOSO,Actividad detectada desde una dirección IP no habitual. Registro masivo VIGIA #17.
